BATS_id,type,cruise,cast,mtime,year,month,day,hour,doy,lat,lon,MLD_dens125,MLD_bvfrq,MLD_densT2,MLD_densT3,MLD_densT1,MLD_dens2,MLD_densGR,MLD_te2,DCM,DCMde_top,Season,Sunrise,Sunset,par0,kpar,z_par_1pcnt,z_par_halfpcnt,z_par_tenthpcnt,fluor_offset
10027004,1,27,4,727171.215277778,1990,12,4,5.16666666666667,338,31.851,-64.332,-999,10.9232174782392,-999,-999,-999,-999,8.93722133042348,-999,NaN,NaN,NaN,1104.82800000003,2107.32800000002,NaN,NaN,NaN,NaN,NaN,NaN
10027005,1,27,5,727171.517361111,1990,12,4,12.4166666666667,338,31.864,-64.369,90.3471664530746,12.9091804650711,90.3471664530746,90.3471664530746,18.8669889641416,90.3471664530746,6.95119842532615,16.8810720780994,NaN,NaN,NaN,1104.97599999996,2107.47600000003,NaN,NaN,NaN,NaN,NaN,NaN
10027006,1,27,6,727171.638888889,1990,12,4,15.3333333333333,338,31.872,-64.417,96.3026581216668,96.3026581216668,26.8104459934007,96.3026581216668,20.8528727738846,98.2878034710243,8.93720580943229,20.8528727738846,106.228192567825,96.3026581216668,4,1105.16799999997,2107.66800000004,NaN,NaN,NaN,NaN,NaN,NaN
10028001,1,28,1,727213.256944444,1991,1,15,6.16666666666667,15,31.752,-64.118,144.93462258738,107.221782694145,136.99565372727,140.965176569278,123.101718655285,150.888647590427,9.9303030309195,127.071510455536,NaN,NaN,NaN,1119.972,2128.972,NaN,NaN,NaN,NaN,NaN,NaN
10028002,1,28,2,727213.510416667,1991,1,15,12.25,15,31.733,-64.135,140.965397603311,115.16208502061,123.101911679725,135.011075192137,113.177080305277,150.888884184242,5.95824902236966,121.116983842909,NaN,NaN,NaN,1120.04,2129.04,NaN,NaN,NaN,NaN,NaN,NaN
10028003,1,28,3,727213.661805556,1991,1,15,15.8833333333333,15,31.704,-64.126,138.980975152675,7.94431246003545,109.207274458909,129.056888633108,65.5313544039764,146.919898630927,5.9582632763079,99.2817465081037,73.4731234469278,138.980975152675,1,1120.004,2129.004,208.452121763494,0.0380432721704667,121.117273587687,140.965734830139,182.641253280804,NaN
10028004,1,28,4,727214.388888889,1991,1,16,9.33333333333333,16,31.708,-64.116,130.049275994742,126.079527426704,126.079527426704,128.064411317593,116.154819724652,136.003754755524,88.3630813125853,120.124760459741,72.4803952475378,130.049275994742,1,1119.964,2129.964,115.882166233876,0.0292101005621895,157.835364694542,181.649017454234,NaN,NaN
10029001,1,29,1,727240.694444444,1991,2,11,16.6666666666667,42,31.746,-64.147,153.865671486254,68.509316496107,74.4655648941563,114.169462585614,68.509316496107,173.710895600885,6.95126619202822,74.4655648941563,100.273973478806,153.865671486254,1,1107.088,2155.088,71.5011955860901,0.0286578740043657,161.803991445334,185.617109043846,241.170313192088,NaN
10029002,1,29,2,727242.879861111,1991,2,13,21.1166666666667,44,31.4,-64.157,220.345894963179,5.95841226021,55.605100281658,115.165240071364,47.6624394966943,224.313921415566,3.97229412895093,49.6481335833853,NaN,NaN,NaN,1104.628,2157.128,NaN,NaN,NaN,NaN,NaN,NaN
10029003,1,29,3,727243.09375,1991,2,14,2.25,45,31.444,-64.182,-999,29.7902182089491,-999,-999,97.2986647557785,-999,23.8325216076118,97.2986647557785,NaN,NaN,NaN,1104.228,2158.228,NaN,NaN,NaN,NaN,NaN,NaN
