BATS_id,type,cruise,cast,mtime,year,month,day,hour,doy,lat,lon,MLD_dens125,MLD_bvfrq,MLD_densT2,MLD_densT3,MLD_densT1,MLD_dens2,MLD_densGR,MLD_te2,DCM,Season,Sunrise,Sunset,par0,kpar,z_par_1pcnt,z_par_halfpcnt,z_par_tenthpcnt,fluor_offset
10006002,1,6,2,726552.395833333,1989,3,25,9.5,84,31.407,-63.919,51.6337787593289,15.8887045080042,21.8466505247803,29.7903086647652,19.8606877984864,67.5184749857997,3.97229184792968,21.8466505247803,NaN,1,1018.176,2227.17599999999,NaN,NaN,NaN,NaN,NaN,NaN
10006003,1,6,3,726552.364583333,1989,3,25,8.75,84,31.412,-63.921,51.6337575787237,19.860679651438,23.8325841970083,27.8044116365432,21.8466415630725,65.5329284642366,5.95840639449406,23.8325841970083,NaN,1,1018.18400000001,2227.184,358.244547443664,0.038573300986331,121.120182801016,138.984313441899,180.661235996258,NaN
10006004,1,6,4,726552.5,1989,3,25,12,84,31.417,-63.917,30.7832189923523,8.93754082878831,22.839605919813,24.8255381006239,18.867683725695,58.5834369292765,6.95145439791022,22.839605919813,NaN,1,1018.168,2227.16800000001,511.950086621976,0.0331958060409465,NaN,NaN,NaN,NaN
10006005,1,6,5,726552.506944444,1989,3,25,12.1666666666667,84,31.417,-63.917,26.8114510055266,6.95145439791022,22.839605919813,24.8255381006239,16.881693710015,56.5978322774336,4.96534868042216,22.839605919813,NaN,1,1018.168,2227.16800000001,223.621289154081,0.0209242100945553,NaN,NaN,NaN,NaN
10006006,1,6,6,726552.506944444,1989,3,25,12.1666666666667,84,31.417,-63.917,31.7761489434641,7.94450002410399,21.8466326005629,23.8325744197748,17.8746911278654,57.5906370103963,5.95840395007393,21.8466326005629,NaN,1,1018.168,2227.16800000001,538.05935365108,0.0339766819468392,136.999430681192,NaN,NaN,NaN
10006007,1,6,7,726552.510416667,1989,3,25,12.25,84,31.417,-63.917,31.7761489434641,9.93057681212705,21.8466326005629,23.8325744197748,17.8746911278654,59.5762320342267,5.95840395007393,21.8466326005629,NaN,1,1018.168,2227.16800000001,204.273657419857,0.0199823636169116,NaN,NaN,NaN,NaN
10006008,1,6,8,726553.277777778,1989,3,26,6.66666666666667,85,31.134,-63.75,31.7768849372965,15.8890594838789,17.8751051391138,21.8471386091709,17.8751051391138,61.5632336824109,3.97238059460322,17.8751051391138,NaN,1,1016.49999999999,2227,NaN,NaN,NaN,NaN,NaN,NaN
10006009,1,6,9,726553.520833333,1989,3,26,12.5,85,31.055,-63.72,25.8192613508781,9.93087081960716,19.8612595036872,21.8472793973072,19.8612595036872,53.620976655624,3.97240619361644,19.8612595036872,NaN,1,1016.38000000001,2226.88,NaN,NaN,NaN,NaN,NaN,NaN
10006010,1,6,10,726553.649305556,1989,3,26,15.5833333333333,85,31.018,-63.7,27.8053072443264,19.8613193842788,21.8473452656234,23.8333518686196,19.8613193842788,51.6354207489878,3.97241817022144,21.8473452656234,NaN,1,1016.3,2226.80000000001,NaN,NaN,NaN,NaN,NaN,NaN
10006011,1,6,11,726554.388888889,1989,3,27,9.33333333333333,86,30.857,-63.735,52.6289711038985,22.8406500700512,30.7846262966946,34.7564987656549,28.7986611529072,64.5430859000118,20.8546078212992,28.7986611529072,NaN,1,1015.43999999999,2227.44,NaN,NaN,NaN,NaN,NaN,NaN
10006012,1,6,12,726554.416666667,1989,3,27,10,86,30.843,-63.738,57.5933353236752,27.8057029630873,31.7776377662869,37.7353954288354,27.8057029630873,67.5215830495724,23.833691059574,29.7916800016313,NaN,1,1015.452,2227.45199999999,NaN,NaN,NaN,NaN,NaN,NaN
10007001,1,7,1,726574.385416667,1989,4,16,9.25,106,31.576,-64.259,44.6832161412094,30.7828168126826,38.7260177496469,40.711769812575,34.7544558205823,56.5970928345866,28.7969684012033,40.711769812575,NaN,2,952.536000000005,2242.53599999999,NaN,NaN,NaN,NaN,NaN,NaN
10007002,1,7,2,726574.510416667,1989,4,16,12.25,106,31.604,-64.222,40.7116759891923,8.93740346337499,34.7543757262307,38.7259285025614,12.9094574207905,50.6401244546552,4.96527236552828,36.7401617486289,NaN,2,952.387999999996,2242.38800000001,434.810845762911,0.0314311893248019,147.913461239572,NaN,NaN,NaN
10007003,1,7,3,726574.513888889,1989,4,16,12.3333333333333,106,31.606,-64.226,40.7116692857515,14.895453022168,34.7543700036941,38.7259221260853,14.895453022168,50.6401161164406,4.96527154796077,36.7401556991209,NaN,2,952.40399999999,2242.404,517.8481428315,0.0331228241133395,139.974487708652,161.805858709229,NaN,NaN
10007004,1,7,4,726574.517361111,1989,4,16,12.4166666666667,106,31.606,-64.226,41.7045356407316,11.9164492007171,33.7614699299282,37.73304132108,13.902456568942,49.6472931035012,7.94437661310618,35.7472652600385,NaN,2,952.40399999999,2242.404,373.08634432091,0.0282015605888397,NaN,NaN,NaN,NaN
10007005,1,7,5,726574.59375,1989,4,16,14.25,106,31.603,-64.224,31.7756631775991,11.9164521438819,25.8181022717118,29.7898288153362,15.8884485792104,43.6902646924432,3.97222786378109,25.8181022717118,NaN,2,952.396000000003,2242.39599999999,639.520419727232,0.0379611089347792,123.103230656942,140.966907976058,182.642773251825,NaN
10007006,1,7,6,726574.642361111,1989,4,16,15.4166666666667,106,31.576,-64.259,35.7473535286137,9.93044706983098,21.8463471762102,31.7757337913107,15.8884838875007,45.6760656831329,7.94439622973986,19.8604120256585,NaN,2,952.536000000005,2242.53599999999,787.932502846905,0.0488664053117339,95.3124057315162,109.208425994233,142.951982636062,NaN
10007007,1,7,7,726574.736111111,1989,4,16,17.6666666666667,106,31.602,-64.224,35.7472770318768,7.94437922925625,21.8463004265425,31.7756657935207,19.8603695257447,45.6759679397836,5.95831335347789,23.8322120499565,NaN,2,952.396000000003,2242.39599999999,NaN,NaN,NaN,NaN,NaN,NaN
10007008,1,7,8,726575.381944444,1989,4,17,9.16666666666667,107,31.574,-64.208,33.7615588512289,21.846350771451,29.7898999185285,31.7757390206191,25.8181638951043,43.6903689734189,3.97223734483275,31.7757390206191,NaN,2,951.332000000002,2243.332,NaN,NaN,NaN,NaN,NaN,NaN
10007009,1,7,9,726575.673611111,1989,4,17,16.1666666666667,107,31.554,-64.235,34.7545187241146,10.9234850289803,24.8252586894747,28.7970205220669,12.9095105372574,42.6975798892873,4.96529279535377,34.7545187241146,NaN,2,951.439999999996,2243.44,194.036858553619,0.0346856890260618,134.020647649487,153.868105559876,199.509974826987,NaN
10007010,1,7,10,726576.395833333,1989,4,18,9.5,108,31.509,-64.254,33.7617393179804,23.8323943629256,27.8041901656962,29.7900591555146,25.8183019018939,49.6476892463115,21.8464675476129,31.7759088725418,NaN,2,950.515999999996,2244.01599999999,259.612499755309,0.0378328226347698,123.104182502664,140.967997943208,182.644185453373,NaN
10008001,1,8,1,726603.569444444,1989,5,15,13.6666666666667,135,31.875,-64.183,15.8880919500509,5.95817912362865,7.94420025703312,9.93020210519196,7.94420025703312,17.874016669086,3.97213870377376,7.94420025703312,NaN,2,923.731999999986,2301.73199999999,1294.29347148298,0.041014374595673,113.175752593133,131.03989359144,168.747970883094,NaN
10008002,1,8,2,726603.666666667,1989,5,15,16,135,31.788,-64.192,12.9092615507899,6.95124208753239,8.93726785968922,8.93726785968922,8.93726785968922,16.8811781121928,2.97913268404803,8.93726785968922,NaN,2,924.268000000011,2301.76799999998,NaN,NaN,NaN,NaN,NaN,NaN
10008003,1,8,3,726604.388888889,1989,5,16,9.33333333333333,136,31.963,-64.032,14.8950138545016,12.9090746812473,12.9090746812473,14.8950138545016,12.9090746812473,16.8809337468119,8.93713848715307,12.9090746812473,NaN,2,922.627999999991,2302.12800000002,NaN,NaN,NaN,NaN,NaN,NaN
10008004,1,8,4,726605.399305556,1989,5,17,9.58333333333333,137,32.032,-63.787,18.8667264499378,14.8949286619789,16.8808371957766,18.8667264499378,14.8949286619789,18.8667264499378,2.97907252018821,18.8667264499378,NaN,2,920.647999999997,2302.14799999999,NaN,NaN,NaN,NaN,NaN,NaN
10008005,1,8,5,726605.6875,1989,5,17,16.5,137,32.05,-63.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,920.419999999999,2301.92,NaN,NaN,NaN,NaN,NaN,NaN
10008006,1,8,6,726605.861111111,1989,5,17,20.6666666666667,137,32.079,-63.668,10.923011153299,8.93705251825117,10.923011153299,10.923011153299,8.93705251825117,16.8807713644076,4.96507739403411,10.923011153299,NaN,2,920.171999999984,2301.67199999998,NaN,NaN,NaN,NaN,NaN,NaN
10009001,1,9,1,726639.870138889,1989,6,20,20.8833333333333,171,31.745,-64.202,14.8952823528881,6.95126676573059,10.9233131266847,10.9233131266847,8.93729958864001,18.8671744538718,4.96521465675585,8.93729958864001,NaN,3,914.80799999998,2319.30800000001,NaN,NaN,NaN,NaN,NaN,NaN
10009002,1,9,2,726640.358333333,1989,6,21,8.6,172,31.76,-64.168,20.8530657665383,12.9092913976216,16.8812171422686,18.8671510938602,14.8952639105864,20.8530657665383,2.97913957195337,14.8952639105864,NaN,3,915.172000000016,2319.67200000001,NaN,NaN,NaN,NaN,NaN,NaN
10009003,1,9,3,726640.588194444,1989,6,21,14.1166666666667,172,31.765,-64.173,16.8812101740022,18.8671433058374,12.9092860688932,14.8952577620849,8.9372848339332,18.8671433058374,2.97913834221559,10.9232950932457,NaN,3,914.692,2319.69199999998,1450.09006289294,0.0399472453837294,116.154273388352,134.018317353247,173.710623161021,NaN
10009004,1,9,4,726640.65625,1989,6,21,15.75,172,31.77,-64.162,16.8812032051313,6.95125242018123,10.9232905839076,12.9092807397024,8.93728114445596,18.8671355171388,2.9791371123711,10.9232905839076,NaN,3,914.648000000002,2319.64799999998,NaN,NaN,NaN,NaN,NaN,NaN
10009005,1,9,5,726641.535416667,1989,6,22,12.85,173,31.798,-64.085,12.9092508876974,12.9092508876974,12.9092508876974,12.9092508876974,10.9232653243904,12.9092508876974,2.97913022327187,12.9092508876974,112.183968714465,3,914.840000000008,2319.83999999999,1307.576373928,0.0397894745517659,116.153956841136,134.017952123123,173.71014976254,NaN
10009006,1,9,6,726641.784027778,1989,6,22,18.8166666666667,173,31.803,-64.058,20.8529917153188,20.8529917153188,14.8952110160522,20.8529917153188,12.9092455554591,22.838880058205,4.96519087720656,12.9092455554591,112.183922376769,3,914.731999999995,2319.73200000002,179.599287378424,0.0405754674797824,114.16892523116,132.033086078114,171.725651298795,NaN
10010001,1,10,1,726667.571527778,1989,7,18,13.7166666666667,199,31.782,-64.162,14.8952368531903,14.8952368531903,14.8952368531903,14.8952368531903,10.9232797599006,14.8952368531903,2.97913416030921,14.8952368531903,NaN,3,926.647999999991,2317.14800000002,1463.17892057434,0.0392324195883831,118.139078196007,136.002924152027,NaN,NaN
10010002,1,10,2,726667.645833333,1989,7,18,15.5,199,31.835,-64.138,18.8670342026722,6.95121509266117,8.93723315217396,12.9092114182216,8.93723315217396,22.8388196630878,2.97912111469995,8.93723315217396,NaN,3,926.551999999988,2317.05200000002,NaN,NaN,NaN,NaN,NaN,NaN
10010003,1,10,3,726668.329861111,1989,7,19,7.91666666666667,200,31.857,-64.188,20.8528986427503,20.8528986427503,20.8528986427503,20.8528986427503,12.9091879379366,20.8528986427503,6.95120244923811,20.8528986427503,NaN,3,927.251999999994,2317.25199999999,NaN,NaN,NaN,NaN,NaN,NaN
10010004,1,10,4,726668.510416667,1989,7,19,12.25,200,31.868,-64.195,18.8669827225717,10.9232021220977,12.9091761944582,18.8669827225717,10.9232021220977,20.8528796729014,2.97911298593271,12.9091761944582,NaN,3,927.280000000019,2317.28000000001,NaN,NaN,NaN,NaN,NaN,NaN
10010005,1,10,5,726668.746527778,1989,7,19,17.9166666666667,200,31.885,-64.188,18.8669561911111,22.8387252289994,12.909158041077,14.8951100384319,10.9231867614664,22.8387252289994,2.97910879658448,12.909158041077,110.198153246953,3,927.251999999994,2317.25199999999,711.122954262253,0.041785197217771,112.18316186784,128.062538909106,165.771132245308,NaN
10010006,1,10,6,726669.149305556,1989,7,20,3.58333333333333,201,31.898,-64.225,18.8669358971203,18.8669358971203,14.8950940166975,18.8669358971203,12.9091441555033,20.852827918718,8.93718658520357,18.8669358971203,NaN,3,927.899999999995,2316.90000000001,NaN,NaN,NaN,NaN,NaN,NaN
10010007,1,10,7,726669.416666667,1989,7,20,10,201,31.962,-64.25,19.8597790813466,17.8738879437035,17.8738879437035,17.8738879437035,17.8738879437035,19.8597790813466,3.97211009711604,17.8738879437035,103.249813504877,3,928.000000000002,2317.00000000001,1140.18022043144,0.0419057058956806,111.189951174879,127.069303867876,166.762307030069,NaN
10010008,1,10,8,726670.493055556,1989,7,21,11.8333333333333,202,32.063,-64.387,20.8525427961171,18.8666779277426,18.8666779277426,18.8666779277426,16.8807937809604,20.8525427961171,2.97906485847762,18.8666779277426,110.196527982519,3,929.047999999989,2317.54800000001,1203.08128486154,0.0340382036252929,135.999760444195,155.846191694991,203.469796743979,NaN
10011001,1,11,1,726694.717361111,1989,8,14,17.2166666666667,226,31.812,-64.128,25.8176572317836,25.8176572317836,23.8317992798017,25.8176572317836,19.8600255471217,29.7893153129422,1.98608934059676,23.8317992798017,NaN,3,944.512000000018,2257.51200000002,NaN,NaN,NaN,NaN,NaN,NaN
10011002,1,11,2,726695.33125,1989,8,15,7.95,227,31.567,-64.183,24.825232140718,20.8533974529606,22.8393244352701,22.8393244352701,20.8533974529606,28.796989725822,2.97918695789428,22.8393244352701,NaN,3,945.731999999994,2256.73199999998,NaN,NaN,NaN,NaN,NaN,NaN
10011003,1,11,3,726695.536805556,1989,8,15,12.8833333333333,227,31.533,-64.159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,945.63599999999,2256.63599999998,NaN,NaN,NaN,NaN,NaN,NaN
10011004,1,11,4,726696.35625,1989,8,16,8.55,228,31.433,-64.06,24.825505503809,20.8536270802894,20.8536270802894,22.839575930591,20.8536270802894,28.7973068237868,4.96534216072803,22.839575930591,NaN,3,946.239999999993,2254.74000000002,NaN,NaN,NaN,NaN,NaN,NaN
10013001,1,13,1,726760.770833333,1989,10,19,18.5,292,31.816,-64.087,55.6031958392198,7.94423900786562,53.617627538734,53.617627538734,39.718110143962,55.6031958392198,5.95820818690067,49.6464331624573,NaN,3,1026.348,2136.34799999999,NaN,NaN,NaN,NaN,NaN,NaN
10013002,1,13,2,726761.28125,1989,10,20,6.75,293,31.882,-64.18,57.5884306280176,57.5884306280176,57.5884306280176,57.5884306280176,29.7891429097662,57.5884306280176,17.87400631897,57.5884306280176,NaN,3,1027.72000000003,2135.71999999996,NaN,NaN,NaN,NaN,NaN,NaN
10013003,1,13,3,726761.482638889,1989,10,20,11.5833333333333,293,31.898,-64.188,55.6028188109354,55.6028188109354,55.6028188109354,55.6028188109354,27.8032981919099,55.6028188109354,3.97213114523928,55.6028188109354,91.3395141308619,3,1027.75199999997,2135.75199999999,729.643585496066,0.0306736721451182,150.886826955379,174.700911941466,226.288621108446,NaN
10013004,1,13,4,726761.6875,1989,10,20,16.5,293,31.915,-64.193,54.6099669654469,6.95116909364214,44.681966007755,54.6099669654469,12.9091259927738,54.6099669654469,4.96514489062396,54.6099669654469,102.257672647198,3,1027.77200000003,2135.77199999997,282.187994788943,0.0372733093566728,124.092501883986,143.940328947295,185.614516313635,NaN
10014001,1,14,1,726791.71875,1989,11,19,17.25,323,31.802,-64.104,59.5743435816981,57.58881149702,57.58881149702,59.5743435816981,57.58881149702,59.5743435816981,5.95821507892861,59.5743435816981,NaN,4,1051.41599999998,2110.41599999998,NaN,NaN,NaN,NaN,NaN,NaN
10014002,1,14,2,726794.611111111,1989,11,22,14.6666666666667,326,31.879,-64.572,70.4939771793139,68.5085636175975,68.5085636175975,70.4939771793139,68.5085636175975,70.4939771793139,32.7678267736944,70.4939771793139,74.4647465604079,4,1055.78799999997,2110.78800000002,208.022608516327,0.0420149811780312,110.198207945088,128.062602474309,165.771214527222,NaN
10014003,1,14,3,726799.774305556,1989,11,27,18.5833333333333,331,31.77,-64.138,90.34786823655,88.3626292165028,90.34786823655,90.34786823655,90.34786823655,90.34786823655,2.9791371123711,90.34786823655,NaN,4,1058.05200000001,2107.55199999998,NaN,NaN,NaN,NaN,NaN,NaN
10014004,1,14,4,726800,1989,11,28,0,332,31.655,-64.114,93.326575954695,93.326575954695,93.326575954695,93.326575954695,93.326575954695,95.3117857172088,5.95828734415837,93.326575954695,NaN,4,1058.456,2107.45599999997,NaN,NaN,NaN,NaN,NaN,NaN
10014005,1,14,5,726800.065972222,1989,11,28,1.58333333333333,332,31.617,-64.117,89.3563784248427,89.3563784248427,89.3563784248427,89.3563784248427,89.3563784248427,89.3563784248427,85.3858118187447,89.3563784248427,NaN,4,1058.46799999997,2107.46800000003,NaN,NaN,NaN,NaN,NaN,NaN
10015001,1,15,1,726821.732638889,1989,12,19,17.5833333333333,353,31.795,-64.123,100.273567791965,96.3032710553649,98.2884290393577,100.273567791965,96.3032710553649,104.243787607811,24.8247655305832,96.3032710553649,NaN,1,1113.99200000001,2109.49200000002,NaN,NaN,NaN,NaN,NaN,NaN
10015002,1,15,2,726821.9375,1989,12,19,22.5,353,31.734,-64.175,113.17707096661,97.2963424416121,97.2963424416121,111.192047192477,75.4583308446374,115.162075518155,7.94429279935965,71.4875331413416,119.132026958214,1,1114.20000000003,2110.20000000003,NaN,NaN,NaN,NaN,NaN,NaN
