BATS_id,Cruise,Cast,decy,yyyymmdd,hhmm,latN,lonW,Pressure,Depth,Temp,Salt,O2,Beam,PAR,Fluor,Fluor_filt,Fluor_offset,sig_theta,AOU,bvfrq,Sunrise,Sunset,Season,VertZone,MLD_dens125,MLD_bvfrq,MLD_densT2,DCM,par_est,par0,kpar,z_par_1pcnt,z_par_halfpcnt,z_par_tenthpcnt
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,4,3.97216890799191,25.708,36.407,205.99,0.438,NaN,NaN,NaN,0,24.1868169254194,-3.9308239714411,NaN,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,6,5.9582244297257,25.711,36.407,207.11,0.438,NaN,NaN,NaN,0,24.1860213775396,-5.06084585972664,-3.83148823423064e-06,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,8,7.94426066485565,25.71,36.409,207.69,0.438,NaN,NaN,NaN,0,24.1879819768346,-5.64009375743794,9.44086104824027e-06,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,10,9.93027761458652,25.715,36.408,207.74,0.438,NaN,NaN,NaN,0,24.1858083447473,-5.7055009330609,-1.04687311389182e-05,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,12,11.9162752801082,25.715,36.408,208.31,0.438,NaN,NaN,NaN,0,24.1859467483889,-6.2755009330609,6.66744560901183e-07,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,14,13.9022536625957,25.714,36.408,207.83,0.438,NaN,NaN,NaN,0,24.1863964621239,-5.79216087233243,2.16663050886582e-06,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,16,15.8882127632412,25.715,36.408,208.4,0.438,NaN,NaN,NaN,0,24.1862235686938,-6.3655009330609,-8.33036418045522e-07,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,18,17.8741525832347,25.716,36.408,208.44,0.438,NaN,NaN,NaN,0,24.1860506865503,-6.40884088603983,-8.33052829456108e-07,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,20,19.8600731237767,25.713,36.408,208.48,0.441,NaN,NaN,NaN,0,24.1871229664609,-6.43882070386792,5.16734252711921e-06,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,22,21.8459743860336,25.715,36.41,208.53,0.438,NaN,NaN,NaN,0,24.188149773551,-6.49808903679283,4.94112154370851e-06,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,24,23.8318563712078,25.706,36.414,208.57,0.44,NaN,NaN,NaN,0,24.1941113159958,-6.51320233390007,2.87171345337157e-05,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,26,25.8177190804928,25.685,36.415,208.61,0.442,NaN,NaN,NaN,0,24.2015388183934,-6.48431672071251,3.5797598644364e-05,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,28,27.8035625150669,25.69,36.427,208.12,0.442,NaN,NaN,NaN,0,24.2091878946048,-6.02656693477752,3.68150342951922e-05,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,30,29.7893866761125,25.699,36.429,208.17,0.439,NaN,NaN,NaN,0,24.2080371140257,-6.10923051400195,-5.55824618480207e-06,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
10001001,1,1,1988.8031079235,19881020,2230,31.783,64.116,32,31.775191564822,25.693,36.443,207.67,0.437,NaN,NaN,NaN,0,24.2206194482762,-5.6073047596044,6.05862901313472e-05,1027.46399999996,2134.96399999999,3,0,63.5454497159455,31.775191564822,55.6033474196759,NaN,-999,-999,-999,-999,-999,-999
